epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1095.72,0.49299,2.0149,0.91088,0.84256,0.79463,0.91802,0.87817,0.33471,1.04976,0.87439,0.07003,0.00333,0.00333
2,2188.71,0.3584,0.7412,0.86863,0.97063,0.91916,0.97084,0.95274,0.21909,0.46132,0.8305,0.0400284,0.00666171,0.00666171
3,3272.69,0.31377,0.60353,0.85023,0.9798,0.94639,0.97852,0.96501,0.21129,0.38087,0.82343,0.0100202,0.0099869,0.0099869
4,4360.71,0.28716,0.51561,0.8373,0.98178,0.94543,0.981,0.96232,0.23074,0.35593,0.83162,0.00997803,0.00997803,0.00997803
5,5439.43,0.25955,0.47011,0.82784,0.99077,0.95372,0.98315,0.97216,0.18455,0.28841,0.81055,0.00996097,0.00996097,0.00996097
6,6507.06,0.24483,0.43078,0.82297,0.99134,0.95826,0.98511,0.97651,0.15629,0.25578,0.8042,0.00993906,0.00993906,0.00993906
7,7574.62,0.2309,0.41253,0.81952,0.98311,0.9508,0.98329,0.96933,0.2221,0.31761,0.81622,0.00991232,0.00991232,0.00991232
8,8642.5,0.22294,0.38876,0.81637,0.9907,0.96335,0.98617,0.97838,0.1484,0.23542,0.79986,0.00988079,0.00988079,0.00988079
9,9717.49,0.21613,0.36923,0.8135,0.99309,0.96496,0.98699,0.98062,0.14342,0.22143,0.79913,0.00984449,0.00984449,0.00984449
10,10796.4,0.20523,0.35431,0.80979,0.9925,0.96581,0.98672,0.97909,0.14896,0.21916,0.79909,0.00980345,0.00980345,0.00980345
11,11880,0.20258,0.35283,0.81045,0.99311,0.9649,0.9878,0.98109,0.14982,0.21866,0.79812,0.00975773,0.00975773,0.00975773
12,12964.4,0.19675,0.33557,0.8068,0.99379,0.96839,0.98853,0.98022,0.15266,0.20631,0.80078,0.00970736,0.00970736,0.00970736
13,14048.6,0.19425,0.32418,0.8068,0.99392,0.96739,0.9883,0.98292,0.1358,0.19968,0.79361,0.00965239,0.00965239,0.00965239
14,15133.5,0.18873,0.31891,0.80522,0.99572,0.96881,0.98838,0.98368,0.13968,0.18625,0.79295,0.00959289,0.00959289,0.00959289
